%P      ,  -1,  -1
%N      ,   0,  -1
%A      ,  -2,  -4
%SF     ,   0,   0
%EC     ,  -1,   0
%Mg     ,   0,   0
%2N     ,   0,  -2
%Ne     ,   0,   0
%2P     ,  -2,  -2
%B-     ,   1,   0
%B+     ,  -1,   0
%12C    ,  -6, -12
%2|e    ,   0,   0
%14C    ,  -6, -14
%ECP    ,  -2,  -1
%ECF    ,  -1,   0
%B-F    ,   1,   0
%B-A    ,  -1,  -4
%2B-    ,   2,   0
%B-N    ,   1,  -1
%ECA    ,  -2,  -1
%B+A    ,  -3,  -4
%B+P    ,  -1,  -2
%ECSF   ,  -1,   0
%B-4N   ,   1,  -4
%34SI   , -14, -34
%B-2N   ,   1,  -2
%EC2P   ,  -3,  -2
%B+2P   ,  -3,   2
%B-3N   ,   1,  -3
%{+24}Ne,   0,   0
%{+25}Ne,   0,   0
%{+20}Ne,   0,   0
%{+34}Si,   0,   0
%{+28}Mg,   0,   0
%{+22}Ne,   0,   0